status,path,doc_id,title,brand,model,variant,category,chunks_db,chunks_qdrant,error
ok,C:\ai-platform\demo_docs\1. Bandschrapers\1) Bandschraper U.pdf,5876416509104398899,Belle Banne U - 1) Bandschraper U,Belle Banne,U,standaard,Bandschraper,10,10,
ok,C:\ai-platform\demo_docs\1. Bandschrapers\2) Bandschraper U - Reversibel.pdf,3931792663741965844,Belle Banne U REV - 2) Bandschraper U - Reversibel,Belle Banne,U,REV,Bandschraper,3,3,
ok,C:\ai-platform\demo_docs\1. Bandschrapers\3) Bandschraper H.pdf,5468589044249961327,Promati H - 3) Bandschraper H,Promati,H,standaard,Bandschraper,5,5,
ok,C:\ai-platform\demo_docs\1. Bandschrapers\4) Bandschraper H - Implanting.pdf,5048214389288772475,Promati H - 4) Bandschraper H - Implanting,Promati,H,standaard,Bandschraper,3,3,
ok,C:\ai-platform\demo_docs\1. Bandschrapers\5) Bandschraper R.pdf,2953549675382088754,Promati R - 5) Bandschraper R,Promati,R,standaard,Bandschraper,6,6,
ok,C:\ai-platform\demo_docs\1. Bandschrapers\6) Bandschraper P.pdf,2014482211774046663,Promati P - 6) Bandschraper P,Promati,P,standaard,Bandschraper,6,6,
ok,C:\ai-platform\demo_docs\1. Bandschrapers\7) Bandschraper RV.pdf,6590385981782074878,Promati 7) Bandschraper RV - 7) Bandschraper RV,Promati,7) Bandschraper RV,standaard,Bandschraper,7,7,
ok,C:\ai-platform\demo_docs\1. Bandschrapers\8) Bandschraper K.pdf,4724319561181209010,Promati 8) Bandschraper K - 8) Bandschraper K,Promati,8) Bandschraper K,standaard,Bandschraper,2,2,
ok,C:\ai-platform\demo_docs\10. Slijtplaten en Belle Liner\1) Slijtplaten - Belle Liner.pdf,2544807694442308335,Promati R - 1) Slijtplaten - Belle Liner,Promati,R,standaard,Slijtplaten,2,2,
ok,C:\ai-platform\demo_docs\10. Slijtplaten en Belle Liner\2) Sancic.pdf,3028909795226788380,Promati 2) Sancic - 2) Sancic,Promati,2) Sancic,standaard,Slijtplaten,5,5,
ok,C:\ai-platform\demo_docs\11. Overkapping voor transportbanden\Overkapping Achenbach.pdf,177955011672318233,Promati H - Overkapping Achenbach,Promati,H,standaard,Overkapping,18,18,
ok,C:\ai-platform\demo_docs\12. ProLoad\BLU-TEC - Price list Proload 2026.pdf,6624919147169981871,Promati BLU-TEC - Price list Proload 2026 - BLU-TEC - Price list Proload 2026,Promati,BLU-TEC - Price list Proload 2026,standaard,12. ProLoad,10,10,
ok,C:\ai-platform\demo_docs\12. ProLoad\BLU-TEC-Datasheet-Proload (4).pdf,5136894796940092163,Promati BLU-TEC-Datasheet-Proload (4) - BLU-TEC-Datasheet-Proload (4),Promati,BLU-TEC-Datasheet-Proload (4),standaard,12. ProLoad,5,5,
ok,C:\ai-platform\demo_docs\12. ProLoad\BLU-TEC-Flowchart-Proload_pdf (3).pdf,1293143328671966848,Promati BLU-TEC-Flowchart-Proload_pdf (3) - BLU-TEC-Flowchart-Proload_pdf (3),Promati,BLU-TEC-Flowchart-Proload_pdf (3),standaard,12. ProLoad,4,4,
ok,C:\ai-platform\demo_docs\12. ProLoad\BLU-TEC-Installation-guide (4).pdf,8788030619929093880,Promati BLU-TEC-Installation-guide (4) - BLU-TEC-Installation-guide (4),Promati,BLU-TEC-Installation-guide (4),standaard,12. ProLoad,14,14,
ok,C:\ai-platform\demo_docs\12. ProLoad\BLU-TEC-Maintenance-instructions-Proload-ENG (4).pdf,8426281059291373746,Promati BLU-TEC-Maintenance-instructions-Proload-ENG (4) - BLU-TEC-Maintenance-instructions-Proload-ENG (4),Promati,BLU-TEC-Maintenance-instructions-Proload-ENG (4),standaard,12. ProLoad,5,5,
ok,C:\ai-platform\demo_docs\12. ProLoad\BLU-TEC-Questionnaires-Proload (6).pdf,7506763050712573100,Promati BLU-TEC-Questionnaires-Proload (6) - BLU-TEC-Questionnaires-Proload (6),Promati,BLU-TEC-Questionnaires-Proload (6),standaard,12. ProLoad,4,4,
ok,C:\ai-platform\demo_docs\12. ProLoad\BLU-TEC-Questionnaires-Proload.pdf,4183603286890488819,Promati BLU-TEC-Questionnaires-Proload - BLU-TEC-Questionnaires-Proload,Promati,BLU-TEC-Questionnaires-Proload,standaard,12. ProLoad,4,4,
ok,C:\ai-platform\demo_docs\2. Poluyrethaan kopschrapers en bandschrapers Blue-line\1) Bandschraper TPH.pdf,8882856053251286271,Promati H - 1) Bandschraper TPH,Promati,H,standaard,Bandschraper,3,3,
