doc_id,title,brand,model,variant,category,product_id,action
5468589044249961327,Promati H - 3) Bandschraper H,Belle Banne,H,standaard,Bandschraper,1,link_existing
5048214389288772475,Promati H - 4) Bandschraper H - Implanting,Belle Banne,H,implanting,Bandschraper,1,link_existing
2953549675382088754,Promati R - 5) Bandschraper R,Belle Banne,R,standaard,Bandschraper,3,link_existing
2014482211774046663,Promati P - 6) Bandschraper P,Belle Banne,P,standaard,Bandschraper,,skip
6590385981782074878,Promati 7) Bandschraper RV - 7) Bandschraper RV,Belle Banne,RV,standaard,Bandschraper,,skip
4724319561181209010,Promati 8) Bandschraper K - 8) Bandschraper K,Promati,K,standaard,Bandschraper,,skip
2544807694442308335,Promati R - 1) Slijtplaten - Belle Liner,Belle Banne,Belle Liner,standaard,Slijtplaten,,skip
3028909795226788380,Promati 2) Sancic - 2) Sancic,Sancic,Sancic,standaard,Slijtplaten,,skip
177955011672318233,Promati H - Overkapping Achenbach,Achenbach,Overkapping,standaard,Overkapping,,skip
6624919147169981871,Promati BLU-TEC - Price list Proload 2026,BLU-TEC,Proload,price_list,Proload,,skip
5136894796940092163,Promati BLU-TEC-Datasheet-Proload,BLU-TEC,Proload,datasheet,Proload,,skip
1293143328671966848,Promati BLU-TEC-Flowchart-Proload,BLU-TEC,Proload,flowchart,Proload,,skip
8788030619929093880,Promati BLU-TEC-Installation-guide,BLU-TEC,Proload,installation_guide,Proload,,skip
8426281059291373746,Promati BLU-TEC-Maintenance-instructions-Proload-ENG,BLU-TEC,Proload,maintenance_instructions,Proload,,skip
7506763050712573100,Promati BLU-TEC-Questionnaires-Proload,BLU-TEC,Proload,questionnaire,Proload,,skip
4183603286890488819,Promati BLU-TEC-Questionnaires-Proload,BLU-TEC,Proload,questionnaire,Proload,,skip
8882856053251286271,Promati H - 1) Bandschraper TPH,Promati,TPH,standaard,Bandschraper,4,link_existing
7370171492549043030,Promati 3) Bandschraper Blue Line BP1,Promati,BP1,Blue Line,Bandschraper,,skip
4423226532026393179,Promati 4) Bandschraper Blue Line BS1,Promati,BS1,Blue Line,Bandschraper,,skip
4174722679983153801,Promati 1) Transportbandrollen,Promati,Transportbandrollen,standaard,Rollen en steunen,,skip
6789131040505505465,Promati 2) trogstellen en steunen voor transportbanden,Promati,Trogstellen en steunen,standaard,Rollen en steunen,,skip
2975723104419324753,Promati 3) TOP-Rollen,Promati,TOP-Rollen,standaard,Rollen en steunen,,skip
840005334774784633,Promati 4) HDPE Rollen,Promati,HDPE Rollen,standaard,Rollen en steunen,,skip
5138978833613399889,Promati 5) Cerapro-ringen,Promati,Cerapro-ringen,standaard,Rollen en steunen,,skip
6966232033711564342,Promati vragenlijst rollen,Promati,Rollen,vragenlijst,Rollen en steunen,,skip
3940648464986776592,Promati 1) Transportbandtrommels,Promati,Transportbandtrommels,standaard,Trommels en lagers,,skip
547632409229336817,Promati 1) Proload,BLU-TEC,Proload,standaard,Ontstoffingssysteem - Stofdicht Stortpunt,,skip
6227852189470139685,Promati R - 2) Ontstoffingssysteem voor transportbanden - HX410 - Roxon Clear,Roxon,HX410 Clear,standaard,Ontstoffingssysteem - Stofdicht Stortpunt,,skip
4385436331652720093,Promati vragenlijst proload,BLU-TEC,Proload,vragenlijst,Ontstoffingssysteem - Stofdicht Stortpunt,,skip
5454109014533875119,Promati 1) Afdichtingssysteem met Klemmen,Promati,Afdichtingssysteem met Klemmen,standaard,Afdichting,,skip
1341889535099904675,Promati 2) Afdichtingssystemen voor stortpunten,Promati,Afdichtingssystemen voor stortpunten,standaard,Afdichting,,skip
402351467733393435,Promati 3) Impact Bars,Promati,Impact Bars,standaard,Afdichting,,skip
3304803484285806008,Promati Vragenlijst impactbars,Promati,Impact Bars,vragenlijst,Afdichting,,skip
2894508434073527225,Promati 1) Rollax,Rollax,Rollax,standaard,Stuurrollen,,skip
1590644006498738311,Promati 1) wegen doseren en metaaldetectie - onze passie,Promati,Weeg- en detectietechniek,algemeen,Weeg- en doseertechnieken,,skip
1286808510441464040,Promati R - 2) Ramsey bandweger,Ramsey,Bandweger,standaard,Weeg- en doseertechnieken,,skip
9042002163247359754,Promati 3) gravimetrische & volumetrische doseersystemen,Promati,Doseersystemen,standaard,Weeg- en doseertechnieken,,skip
5840991651222167947,Promati 4) Industriële weegoplossingen,Promati,Industriële weegoplossingen,standaard,Weeg- en doseertechnieken,,skip
3223341839308169570,Promati 5) Metaaldetectie,Promati,Metaaldetectie,standaard,Weeg- en doseertechnieken,,skip
856943879630561292,Promati Promag magneten,Promag,Magneten,standaard,Metaaldetectie/magneten,,skip
5571551548972376991,Promati MASTER DOKUMENT - MASTER DOKUMENT,Promati,MASTER DOKUMENT,master,demo_docs,,skip
5242336140581314927,Promati mini-inspectie-concept,Promati,mini-inspectie-concept,concept,demo_docs,,skip
5354172894482866909,Promati vragenlijst proload,BLU-TEC,Proload,vragenlijst,Vragenlijsten,,skip
6608367249022328887,Promati vragenlijst rollen,Promati,Rollen,vragenlijst,Vragenlijsten,,skip
