"expected_entity","expected_count","runtime_exact_key_seen","runtime_exact_key_count","related_runtime_keys","status","test_ids"
"afdeling","2","False","0","","NO_RUNTIME_KEY_SEEN","73,74"
"band_candidate","2","False","0","","NO_RUNTIME_KEY_SEEN","154,196"
"band_code","33","True","38","","EXACT_RUNTIME_KEY_EXISTS","21,22,23,24,25,26,27,28,29,30,31,32,37,38,39,40,121,122,123,124,126,127,128,129,130,131,140,150,152,153,156,157,194"
"band_codes","1","False","0","band_code;comparison_scope_codes","RELATED_RUNTIME_KEY_ONLY","192"
"belt_width_mm","13","True","11","","EXACT_RUNTIME_KEY_EXISTS","1,2,6,10,12,13,14,15,17,18,48,149,159"
"comparison_scope","3","False","0","comparison_scope_codes","RELATED_RUNTIME_KEY_ONLY","80,185,193"
"diagnostics_domain","29","True","15","","EXACT_RUNTIME_KEY_EXISTS","101,102,103,106,107,108,109,110,111,112,113,115,116,117,118,119,120,138,139,163,164,165,166,167,168,169,172,197,198"
"diagnostics_object","3","False","0","diagnostics_objects","RELATED_RUNTIME_KEY_ONLY","104,105,114"
"family_code","19","True","24","","EXACT_RUNTIME_KEY_EXISTS","1,2,3,4,7,8,9,10,12,13,14,15,16,17,18,137,149,159,195"
"family_codes","5","False","0","family_code","RELATED_RUNTIME_KEY_ONLY","5,11,20,127,134"
"functie","2","False","0","","NO_RUNTIME_KEY_SEEN","70,71"
"language","1","False","0","","NO_RUNTIME_KEY_SEEN","97"
"lijn_code","5","True","17","","EXACT_RUNTIME_KEY_EXISTS","34,35,36,132,155"
"locatie","6","False","0","","NO_RUNTIME_KEY_SEEN","61,62,63,66,67,68"
"position_id","3","False","0","","NO_RUNTIME_KEY_SEEN","88,91,95"
"rfq_id","17","False","0","","NO_RUNTIME_KEY_SEEN","81,82,83,84,85,86,87,88,91,92,93,94,96,97,99,100,136"
"rfq_ids","1","False","0","","NO_RUNTIME_KEY_SEEN","90"
"scope_code","1","True","7","","EXACT_RUNTIME_KEY_EXISTS","151"
"scraper_type","1","False","0","","NO_RUNTIME_KEY_SEEN","29"
"side","2","False","0","","NO_RUNTIME_KEY_SEEN","29,37"
