entity_key,classification,related_runtime_keys,positive_expectations,negative_expectations,missing,value_mismatches,negative_violations
afdeling,unreachable,,2,0,2,0,0
band_candidate,related_only,band_code,2,0,2,0,0
band_code,exact,,33,10,0,0,0
band_codes,exact,band_code,1,0,0,0,0
belt_width_mm,exact,,13,0,0,0,0
comparison_scope,unreachable,,3,0,3,0,0
diagnostics_domain,exact,,29,0,21,1,0
diagnostics_object,unreachable,,3,0,3,0,0
family_code,exact,,19,0,0,0,0
family_codes,unreachable,,5,0,5,0,0
family_without_context,unreachable,,0,1,0,0,0
functie,unreachable,,2,0,2,0,0
language,unreachable,,1,0,1,0,0
lijn_code,exact,,5,0,2,0,0
locatie,unreachable,,6,0,6,0,0
person_or_function,unreachable,,0,1,0,0,0
position_id,unreachable,,3,0,3,0,0
rfq_id,unreachable,,17,0,17,0,0
rfq_ids,unreachable,,1,0,1,0,0
scope_code,exact,installation_code,1,0,0,0,0
scraper_type,unreachable,,1,1,1,0,0
side,unreachable,,2,1,2,0,0
