"Path","Reason","SizeKB"
"api\app\openapi - backup2.json","Mogelijke oude OpenAPI-export","0,2"
"api\app\openapi.old.txt","Mogelijke oude OpenAPI-export","1,5"
"api\app\openapi-gpt.old2","Mogelijke oude OpenAPI-export","32,8"
"api\app\openapi-gpt.old3","Mogelijke oude OpenAPI-export","1862,7"
"api\app\routers\analysis_api_v5.py","Mogelijke oudere versie; handmatig beoordelen","41,7"
"api\app\routers\analysis_api_v6.py","Mogelijke oudere versie; handmatig beoordelen","6,3"
"api\app\routers\analysis_api_v7.py","Mogelijke oudere versie; handmatig beoordelen","34"
"api\app\routers\analysis_api_v8.py","Mogelijke oudere versie; handmatig beoordelen","40,9"
"api\app\routers\analysis_api_v9.py","Mogelijke oudere versie; handmatig beoordelen","48,7"
"build_sb_inspections_v1.py","Mogelijke oudere versie; handmatig beoordelen","10,6"
"docs\mobile_inspection_api_contract_v1.md","Mogelijke oudere versie; handmatig beoordelen","15,6"
"ingest_excel_to_sb_staging_recursive_v2.py","Mogelijke oudere versie; handmatig beoordelen","2,5"
"ingest_excel_to_sb_staging_recursive_v3.py","Mogelijke oudere versie; handmatig beoordelen","11,8"
"load_sb_excel_positions_v2.py","Mogelijke oudere versie; handmatig beoordelen","21,5"
"load_sb_excel_positions_v3.py","Mogelijke oudere versie; handmatig beoordelen","26,7"
"load_sb_excel_positions_v4.py","Mogelijke oudere versie; handmatig beoordelen","28"
"load_sb_excel_positions_v5.py","Mogelijke oudere versie; handmatig beoordelen","55,5"
"load_sb_word_report_bands_v1.py","Mogelijke oudere versie; handmatig beoordelen","4,3"
"load_sb_word_report_checks_v1.py","Mogelijke oudere versie; handmatig beoordelen","9,6"
"load_sb_word_reports_parsed_v1.py","Mogelijke oudere versie; handmatig beoordelen","5,9"
"load_sb_word_reports_v1.py","Mogelijke oudere versie; handmatig beoordelen","0,8"
"promote_to_inspection_items_all_v1.py","Mogelijke oudere versie; handmatig beoordelen","11,6"
"promote_to_inspection_items_all_v2.py","Mogelijke oudere versie; handmatig beoordelen","12,3"
"promote_to_inspection_items_all_v3.py","Mogelijke oudere versie; handmatig beoordelen","12,7"
"promote_to_inspection_items_all_v4.py","Mogelijke oudere versie; handmatig beoordelen","26,7"
"promote_to_inspection_items_v1.py","Mogelijke oudere versie; handmatig beoordelen","16,2"
"promote_to_inspection_items_v2.py","Mogelijke oudere versie; handmatig beoordelen","4,4"
"promote_to_inspection_items_v3.py","Mogelijke oudere versie; handmatig beoordelen","11,3"
"promote_to_inspection_items_v4.py","Mogelijke oudere versie; handmatig beoordelen","5,9"
"promote_to_inspection_items_v5.py","Mogelijke oudere versie; handmatig beoordelen","9,2"
"promote_to_inspection_items_v6.py","Mogelijke oudere versie; handmatig beoordelen","9,5"
"promote_to_inspections_v1.py","Mogelijke oudere versie; handmatig beoordelen","24,2"
"promote_to_inspections_v2.py","Mogelijke oudere versie; handmatig beoordelen","4,4"
"sb_word_reports_parsed_v1.py","Mogelijke oudere versie; handmatig beoordelen","4,7"
"scripts\load_odoo_pipeline_v1.py","Mogelijke oudere versie; handmatig beoordelen","2,1"
