"category","product","variant_name","status","thickness_mm","heights_mm","shore","reinforcement","segment_width_mm","max_speed_mps","max_temp_c","bidirectional","profile","direction","frame","corrosion_resistance","modules","blade","form_factor","tensioning","diameters_mm","benefits","purpose","placement","housing","ip","reset","max_length_m","bar_material","zone","height_mm","kit"
"Afdichting","Duo-Seal","DS-Std","active","15","[120, 150, 200]","60","PU-slijtstrip",,,,,,,,,,,,,,,,,,,,,,,,
"Afdichting","Multi-Seal","MS-HD","active","22","[200]","60",,,,,,,,,,,,,,,,,,,,,,,,,
"Afdichting","Snel klemsysteem","SK-DuoSeal","active",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afdichting","Tri-Seal","TS-HD","active","25","[150, 200]","60",,,,,,,,,,,,,,,,,,,,,,,,,
"Bandbeveiliging","SiTec trekkoordschakelaar","SiTec-RopeSwitch","active",,,,,,,,,,,,,,,,,,,,,"[""aluminium"", ""duroplast""]","IP67","handmatig","100",,,,
"Impact","BLUTEC Impact Bars","Impact-Bar-Std","active",,,,,,,,,,,"bed",,,,,,,,,,,,,,"PU+UHMWPE","stortpunt",,
"Metaaldetectie","Barrier","Barrier-Std","active",,,,,,,,,,,,,,,,,,,"bandbescherming","voor shredder/breker",,,,,,,,
"Rollen","HDPE rollen","HDPE-Std","active",,,,,,,,,,,,,,,,,"[89, 108, 133]","[""corrosiebestendig"", ""laag gewicht""]",,,,,,,,,,
"Schraper","Belle Banne H","BB-H-Primary","active",,,,,"200","6","80","true",,,,,,,,,,,,,,,,,,,,
"Schraper","Belle Banne P","BB-P-Secondary","active",,,,,,,,,,"uni",,,,,,,,,,,,,,,,,,
"Schraper","Belle Banne R","BB-R-Secondary","active",,,,,,,,,,"bi",,,,,,,,,,,,,,,,,,
"Schraper","Belle Banne RV","BB-RV-Compact","active",,,,,,,,,,,"compact","true",,,,,,,,,,,,,,,,
"Schraper","Belle Banne U","BB-U-Secondary","active",,,,,,"6",,,"U",,,,,,,,,,,,,,,,,,,
"Schraper","Promati KF","KF-Secondary","active",,,,,,,,,,,,,,"tungsten carbide","compact",,,,,,,,,,,,,
"Schraper","Promati KS","KS-Secondary","active",,,,,,,,,,,,,,,,"self-adjusting",,,,,,,,,,,,
"Schraper","Promati TPH","TPH-HD-Primary","active",,,,,,,"120",,,,,,"modulair",,,,,,,,,,,,,,,
"Schraper","Promati TPL","TPL-Primary","active",,,,,,,"120",,,,,,,"single PU",,,,,,,,,,,,,,
